Name,External ID,Control ID,Statement ID,Control Question
RA-3.1(b) Supply Chain Risk Assessment,ra-3.1_smt.b,ra-3.1,ra-3.1_smt.b,"Update the supply chain risk assessment [frequency] , when there are significant changes to the relevant supply chain, or when changes to the system, environments of operation, or other conditions may necessitate a change in the supply chain."
RA-5(a) Vulnerability Monitoring and Scanning,ra-5_smt.a,ra-5,ra-5_smt.a,Monitor and scan for vulnerabilities in the system and hosted applications [organization-defined frequency and/or randomly in accordance with organization-defined process] and when new vulnerabilities potentially affecting the system are identified and reported;
RA-5(b) Vulnerability Monitoring and Scanning,ra-5_smt.b,ra-5,ra-5_smt.b,"Employ vulnerability monitoring tools and techniques that facilitate interoperability among tools and automate parts of the vulnerability management process by using standards for: 1. Enumerating platforms, software flaws, and improper configurations; 2. Formatting checklists and test procedures; and 3. Measuring vulnerability impact;"
RA-5(c) Vulnerability Monitoring and Scanning,ra-5_smt.c,ra-5,ra-5_smt.c,Analyze vulnerability scan reports and results from vulnerability monitoring;
RA-5(d) Vulnerability Monitoring and Scanning,ra-5_smt.d,ra-5,ra-5_smt.d,Remediate legitimate vulnerabilities [response times] in accordance with an organizational assessment of risk;
RA-5(e) Vulnerability Monitoring and Scanning,ra-5_smt.e,ra-5,ra-5_smt.e,Share information obtained from the vulnerability monitoring process and control assessments with [personnel or roles] to help eliminate similar vulnerabilities in other systems; and
RA-5(f) Vulnerability Monitoring and Scanning,ra-5_smt.f,ra-5,ra-5_smt.f,Employ vulnerability monitoring tools that include the capability to readily update the vulnerabilities to be scanned.
RA-5.2 Update Vulnerabilities to Be Scanned,ra-5.2,ra-5.2,,Update the system vulnerabilities to be scanned [ | prior to a new scan | when new vulnerabilities are identified and reported].
RA-5.11 Public Disclosure Program,ra-5.11,ra-5.11,,Establish a public reporting channel for receiving reports of vulnerabilities in organizational systems and system components.
RA-7 Risk Response,ra-7,ra-7,,"Respond to findings from security and privacy assessments, monitoring, and audits in accordance with organizational risk tolerance."
SA-1(a) Policy and Procedures,sa-1_smt.a,sa-1,sa-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] system and services acquisition policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the system and services acquisition policy and the associated system and services acquisition controls;"
SA-1(b) Policy and Procedures,sa-1_smt.b,sa-1,sa-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the system and services acquisition policy and procedures; and"
SA-1(c) Policy and Procedures,sa-1_smt.c,sa-1,sa-1_smt.c,Review and update the current system and services acquisition: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
SA-2(a) Allocation of Resources,sa-2_smt.a,sa-2,sa-2_smt.a,Determine the high-level information security and privacy requirements for the system or system service in mission and business process planning;
SA-2(b) Allocation of Resources,sa-2_smt.b,sa-2,sa-2_smt.b,"Determine, document, and allocate the resources required to protect the system or system service as part of the organizational capital planning and investment control process; and"
SA-2(c) Allocation of Resources,sa-2_smt.c,sa-2,sa-2_smt.c,Establish a discrete line item for information security and privacy in organizational programming and budgeting documentation.
SA-3(a) System Development Life Cycle,sa-3_smt.a,sa-3,sa-3_smt.a,"Acquire, develop, and manage the system using [system-development life cycle] that incorporates information security and privacy considerations;"
SA-3(b) System Development Life Cycle,sa-3_smt.b,sa-3,sa-3_smt.b,Define and document information security and privacy roles and responsibilities throughout the system development life cycle;
SA-3(c) System Development Life Cycle,sa-3_smt.c,sa-3,sa-3_smt.c,Identify individuals having information security and privacy roles and responsibilities; and
SA-3(d) System Development Life Cycle,sa-3_smt.d,sa-3,sa-3_smt.d,Integrate the organizational information security and privacy risk management process into system development life cycle activities.
SA-4(a) Acquisition Process,sa-4_smt.a,sa-4,sa-4_smt.a,Security and privacy functional requirements;
SA-4(b) Acquisition Process,sa-4_smt.b,sa-4,sa-4_smt.b,Strength of mechanism requirements;
SA-4(c) Acquisition Process,sa-4_smt.c,sa-4,sa-4_smt.c,Security and privacy assurance requirements;
SA-4(d) Acquisition Process,sa-4_smt.d,sa-4,sa-4_smt.d,Controls needed to satisfy the security and privacy requirements.
SA-4(e) Acquisition Process,sa-4_smt.e,sa-4,sa-4_smt.e,Security and privacy documentation requirements;
SA-4(f) Acquisition Process,sa-4_smt.f,sa-4,sa-4_smt.f,Requirements for protecting security and privacy documentation;
SA-4(g) Acquisition Process,sa-4_smt.g,sa-4,sa-4_smt.g,Description of the system development environment and environment in which the system is intended to operate;
SA-4(h) Acquisition Process,sa-4_smt.h,sa-4,sa-4_smt.h,"Allocation of responsibility or identification of parties responsible for information security, privacy, and supply chain risk management; and"
SA-4(i) Acquisition Process,sa-4_smt.i,sa-4,sa-4_smt.i,Acceptance criteria.
SA-4.10 Use of Approved PIV Products,sa-4.10,sa-4.10,,Employ only information technology products on the FIPS 201-approved products list for Personal Identity Verification (PIV) capability implemented within organizational systems.
SA-5(a) System Documentation,sa-5_smt.a,sa-5,sa-5_smt.a,"Obtain or develop administrator documentation for the system, system component, or system service that describes: 1. Secure configuration, installation, and operation of the system, component, or service; 2. Effective use and maintenance of security and privacy functions and mechanisms; and 3. Known vulnerabilities regarding configuration and use of administrative or privileged functions;"
SA-5(b) System Documentation,sa-5_smt.b,sa-5,sa-5_smt.b,"Obtain or develop user documentation for the system, system component, or system service that describes: 1. User-accessible security and privacy functions and mechanisms and how to effectively use those functions and mechanisms; 2. Methods for user interaction, which enables individuals to use the system, component, or service in a more secure manner and protect individual privacy; and 3. User responsibilities in maintaining the security of the system, component, or service and privacy of individuals;"
SA-5(c) System Documentation,sa-5_smt.c,sa-5,sa-5_smt.c,"Document attempts to obtain system, system component, or system service documentation when such documentation is either unavailable or nonexistent and take [actions] in response; and"
SA-5(d) System Documentation,sa-5_smt.d,sa-5,sa-5_smt.d,Distribute documentation to [personnel or roles].
SA-8 Security and Privacy Engineering Principles,sa-8,sa-8,,"Apply the following systems security and privacy engineering principles in the specification, design, development, implementation, and modification of the system and system components: [organization-defined systems security and privacy engineering principles]."
SA-9(a) External System Services,sa-9_smt.a,sa-9,sa-9_smt.a,Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: [controls];
SA-9(b) External System Services,sa-9_smt.b,sa-9,sa-9_smt.b,Define and document organizational oversight and user roles and responsibilities with regard to external system services; and
SA-9(c) External System Services,sa-9_smt.c,sa-9,sa-9_smt.c,"Employ the following processes, methods, and techniques to monitor control compliance by external service providers on an ongoing basis: [processes, methods, and techniques]."
SA-22(a) Unsupported System Components,sa-22_smt.a,sa-22,sa-22_smt.a,"Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or"
SA-22(b) Unsupported System Components,sa-22_smt.b,sa-22,sa-22_smt.b,Provide the following options for alternative sources for continued support for unsupported components [in-house support | ].
SC-1(a) Policy and Procedures,sc-1_smt.a,sc-1,sc-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business-process-level | system-level] system and communications protection policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;"
SC-1(b) Policy and Procedures,sc-1_smt.b,sc-1,sc-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and"
SC-1(c) Policy and Procedures,sc-1_smt.c,sc-1,sc-1_smt.c,Review and update the current system and communications protection: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
SC-5(a) Denial-of-service Protection,sc-5_smt.a,sc-5,sc-5_smt.a,[protect against | limit] the effects of the following types of denial-of-service events: [types of denial-of-service events] ; and
SC-5(b) Denial-of-service Protection,sc-5_smt.b,sc-5,sc-5_smt.b,Employ the following controls to achieve the denial-of-service objective: [controls by type of denial-of-service event].
SC-7(a) Boundary Protection,sc-7_smt.a,sc-7,sc-7_smt.a,Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
SC-7(b) Boundary Protection,sc-7_smt.b,sc-7,sc-7_smt.b,Implement subnetworks for publicly accessible system components that are [physically | logically] separated from internal organizational networks; and
SC-7(c) Boundary Protection,sc-7_smt.c,sc-7,sc-7_smt.c,Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.
SC-8 Transmission Confidentiality and Integrity,sc-8,sc-8,,Protect the [confidentiality | integrity] of transmitted information.
SC-8.1 Cryptographic Protection,sc-8.1,sc-8.1,,Implement cryptographic mechanisms to [prevent unauthorized disclosure of information | detect changes to information] during transmission. Requirement: Please ensure SSP Section 10.3 Cryptographic Modules Implemented for Data At Rest (DAR) and Data In Transit (DIT) is fully populated for reference in this control.
SC-12 Cryptographic Key Establishment and Management,sc-12,sc-12,,Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements: [requirements].
SC-13(a) Cryptographic Protection,sc-13_smt.a,sc-13,sc-13_smt.a,Determine the [cryptographic uses] ; and
SC-13(b) Cryptographic Protection,sc-13_smt.b,sc-13,sc-13_smt.b,Implement the following types of cryptography required for each specified cryptographic use: [types of cryptography].
SC-15(a) Collaborative Computing Devices and Applications,sc-15_smt.a,sc-15,sc-15_smt.a,Prohibit remote activation of collaborative computing devices and applications with the following exceptions: [exceptions where remote activation is to be allowed] ; and
SC-15(b) Collaborative Computing Devices and Applications,sc-15_smt.b,sc-15,sc-15_smt.b,Provide an explicit indication of use to users physically present at the devices.
SC-20(a) Secure Name/Address Resolution Service (Authoritative Source),sc-20_smt.a,sc-20,sc-20_smt.a,Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and
SC-20(b) Secure Name/Address Resolution Service (Authoritative Source),sc-20_smt.b,sc-20,sc-20_smt.b,"Provide the means to indicate the security status of child zones and (if the child supports secure resolution services) to enable verification of a chain of trust among parent and child domains, when operating as part of a distributed, hierarchical namespace."
SC-21 Secure Name/Address Resolution Service (Recursive or Caching Resolver),sc-21,sc-21,,"Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources. Requirement: Control description should include how DNSSEC is implemented on recursive DNS servers to make DNSSEC requests when resolving DNS requests from internal components to domains external to the CSO boundary. Requirement: Internal recursive DNS servers must be located inside an authorized environment. It is typically within the boundary, or leveraged from an underlying IaaS/PaaS."
SC-22 Architecture and Provisioning for Name/Address Resolution Service,sc-22,sc-22,,Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation.
SC-28 Protection of Information at Rest,sc-28,sc-28,,Protect the [confidentiality | integrity] of the following information at rest: [information at rest].
SC-28.1 Cryptographic Protection,sc-28.1,sc-28.1,,Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on [system components or media]: [information].
SC-39 Process Isolation,sc-39,sc-39,,Maintain a separate execution domain for each executing system process.
SI-1(a) Policy and Procedures,si-1_smt.a,si-1,si-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] system and information integrity policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the system and information integrity policy and the associated system and information integrity controls;"
SI-1(b) Policy and Procedures,si-1_smt.b,si-1,si-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the system and information integrity policy and procedures; and"
SI-1(c) Policy and Procedures,si-1_smt.c,si-1,si-1_smt.c,Review and update the current system and information integrity: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
SI-2(a) Flaw Remediation,si-2_smt.a,si-2,si-2_smt.a,"Identify, report, and correct system flaws;"
SI-2(b) Flaw Remediation,si-2_smt.b,si-2,si-2_smt.b,Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation;
SI-2(c) Flaw Remediation,si-2_smt.c,si-2,si-2_smt.c,Install security-relevant software and firmware updates within [time period] of the release of the updates; and
SI-2(d) Flaw Remediation,si-2_smt.d,si-2,si-2_smt.d,Incorporate flaw remediation into the organizational configuration management process.
SI-3(a) Malicious Code Protection,si-3_smt.a,si-3,si-3_smt.a,Implement [signature-based | non-signature-based] malicious code protection mechanisms at system entry and exit points to detect and eradicate malicious code;
SI-3(b) Malicious Code Protection,si-3_smt.b,si-3,si-3_smt.b,Automatically update malicious code protection mechanisms as new releases are available in accordance with organizational configuration management policy and procedures;
SI-3(c) Malicious Code Protection,si-3_smt.c,si-3,si-3_smt.c,"Configure malicious code protection mechanisms to: 1. Perform periodic scans of the system [frequency] and real-time scans of files from external sources at [endpoint | network entry and exit points] as the files are downloaded, opened, or executed in accordance with organizational policy; and 2. [block malicious code | quarantine malicious code | take ] ; and send alert to [personnel or roles] in response to malicious code detection; and"
SI-3(d) Malicious Code Protection,si-3_smt.d,si-3,si-3_smt.d,Address the receipt of false positives during malicious code detection and eradication and the resulting potential impact on the availability of the system.
SI-4(a) System Monitoring,si-4_smt.a,si-4,si-4_smt.a,"Monitor the system to detect: 1. Attacks and indicators of potential attacks in accordance with the following monitoring objectives: [monitoring objectives] ; and 2. Unauthorized local, network, and remote connections;"
SI-4(b) System Monitoring,si-4_smt.b,si-4,si-4_smt.b,Identify unauthorized use of the system through the following techniques and methods: [techniques and methods];
SI-4(c) System Monitoring,si-4_smt.c,si-4,si-4_smt.c,Invoke internal monitoring capabilities or deploy monitoring devices: 1. Strategically within the system to collect organization-determined essential information; and 2. At ad hoc locations within the system to track specific types of transactions of interest to the organization;
SI-4(d) System Monitoring,si-4_smt.d,si-4,si-4_smt.d,Analyze detected events and anomalies;
SI-4(e) System Monitoring,si-4_smt.e,si-4,si-4_smt.e,"Adjust the level of system monitoring activity when there is a change in risk to organizational operations and assets, individuals, other organizations, or the Nation;"
SI-4(f) System Monitoring,si-4_smt.f,si-4,si-4_smt.f,Obtain legal opinion regarding system monitoring activities; and
SI-4(g) System Monitoring,si-4_smt.g,si-4,si-4_smt.g,Provide [system monitoring information] to [personnel or roles] [as needed | ].
"SI-5(a) Security Alerts, Advisories, and Directives",si-5_smt.a,si-5,si-5_smt.a,"Receive system security alerts, advisories, and directives from [external organizations] on an ongoing basis;"
"SI-5(b) Security Alerts, Advisories, and Directives",si-5_smt.b,si-5,si-5_smt.b,"Generate internal security alerts, advisories, and directives as deemed necessary;"
"SI-5(c) Security Alerts, Advisories, and Directives",si-5_smt.c,si-5,si-5_smt.c,"Disseminate security alerts, advisories, and directives to: [ | | ] ; and"
"SI-5(d) Security Alerts, Advisories, and Directives",si-5_smt.d,si-5,si-5_smt.d,"Implement security directives in accordance with established time frames, or notify the issuing organization of the degree of noncompliance."
SI-12 Information Management and Retention,si-12,si-12,,"Manage and retain information within the system and information output from the system in accordance with applicable laws, executive orders, directives, regulations, policies, standards, guidelines and operational requirements."
SR-1(a) Policy and Procedures,sr-1_smt.a,sr-1,sr-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] supply chain risk management policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the supply chain risk management policy and the associated supply chain risk management controls;"
SR-1(b) Policy and Procedures,sr-1_smt.b,sr-1,sr-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the supply chain risk management policy and procedures; and"
SR-1(c) Policy and Procedures,sr-1_smt.c,sr-1,sr-1_smt.c,Review and update the current supply chain risk management: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
SR-2(a) Supply Chain Risk Management Plan,sr-2_smt.a,sr-2,sr-2_smt.a,"Develop a plan for managing supply chain risks associated with the research and development, design, manufacturing, acquisition, delivery, integration, operations and maintenance, and disposal of the following systems, system components or system services: [systems, system components, or system services];"
SR-2(b) Supply Chain Risk Management Plan,sr-2_smt.b,sr-2,sr-2_smt.b,"Review and update the supply chain risk management plan [frequency] or as required, to address threat, organizational or environmental changes; and"
SR-2(c) Supply Chain Risk Management Plan,sr-2_smt.c,sr-2,sr-2_smt.c,Protect the supply chain risk management plan from unauthorized disclosure and modification.
SR-2.1 Establish SCRM Team,sr-2.1,sr-2.1,,"Establish a supply chain risk management team consisting of [personnel, roles and responsibilities] to lead and support the following SCRM activities: [supply chain risk management activities]."
SR-3(a) Supply Chain Controls and Processes,sr-3_smt.a,sr-3,sr-3_smt.a,Establish a process or processes to identify and address weaknesses or deficiencies in the supply chain elements and processes of [system or system component] in coordination with [supply chain personnel];
SR-3(b) Supply Chain Controls and Processes,sr-3_smt.b,sr-3,sr-3_smt.b,"Employ the following controls to protect against supply chain risks to the system, system component, or system service and to limit the harm or consequences from supply chain-related events: [supply chain controls] ; and"
SR-3(c) Supply Chain Controls and Processes,sr-3_smt.c,sr-3,sr-3_smt.c,Document the selected and implemented supply chain processes and controls in [security and privacy plans | supply chain risk management plan | ].
"SR-5 Acquisition Strategies, Tools, and Methods",sr-5,sr-5,,"Employ the following acquisition strategies, contract tools, and procurement methods to protect against, identify, and mitigate supply chain risks: [strategies, tools, and methods]."
SR-8 Notification Agreements,sr-8,sr-8,,"Establish agreements and procedures with entities involved in the supply chain for the system, system component, or system service for the [notification of supply chain compromises | ]. Requirement: CSOs must ensure and document how they receive notifications from their supply chain vendor of newly discovered vulnerabilities including zero-day vulnerabilities."
SR-10 Inspection of Systems or Components,sr-10,sr-10,,Inspect the following systems or system components [at random | at | upon ] to detect tampering: [systems or system components].
SR-11(a) Component Authenticity,sr-11_smt.a,sr-11,sr-11_smt.a,Develop and implement anti-counterfeit policy and procedures that include the means to detect and prevent counterfeit components from entering the system; and
SR-11(b) Component Authenticity,sr-11_smt.b,sr-11,sr-11_smt.b,Report counterfeit system components to [source of counterfeit component | | ].
SR-11.1 Anti-counterfeit Training,sr-11.1,sr-11.1,,"Train [personnel or roles] to detect counterfeit system components (including hardware, software, and firmware)."
SR-11.2 Configuration Control for Component Service and Repair,sr-11.2,sr-11.2,,Maintain configuration control over the following system components awaiting service or repair and serviced or repaired components awaiting return to service: [system components].
SR-12 Component Disposal,sr-12,sr-12,,"Dispose of [data, documentation, tools, or system components] using the following techniques and methods: [techniques and methods]."
