Name,External ID,Control ID,Statement ID,Control Question
CA-1(a) Policy and Procedures,ca-1_smt.a,ca-1,ca-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] assessment, authorization, and monitoring policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the assessment, authorization, and monitoring policy and the associated assessment, authorization, and monitoring controls;"
CA-1(b) Policy and Procedures,ca-1_smt.b,ca-1,ca-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the assessment, authorization, and monitoring policy and procedures; and"
CA-1(c) Policy and Procedures,ca-1_smt.c,ca-1,ca-1_smt.c,"Review and update the current assessment, authorization, and monitoring: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events]."
CA-2(a) Control Assessments,ca-2_smt.a,ca-2,ca-2_smt.a,Select the appropriate assessor or assessment team for the type of assessment to be conducted;
CA-2(b) Control Assessments,ca-2_smt.b,ca-2,ca-2_smt.b,"Develop a control assessment plan that describes the scope of the assessment including: 1. Controls and control enhancements under assessment; 2. Assessment procedures to be used to determine control effectiveness; and 3. Assessment environment, assessment team, and assessment roles and responsibilities;"
CA-2(c) Control Assessments,ca-2_smt.c,ca-2,ca-2_smt.c,Ensure the control assessment plan is reviewed and approved by the authorizing official or designated representative prior to conducting the assessment;
CA-2(d) Control Assessments,ca-2_smt.d,ca-2,ca-2_smt.d,"Assess the controls in the system and its environment of operation [assessment frequency] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security and privacy requirements;"
CA-2(e) Control Assessments,ca-2_smt.e,ca-2,ca-2_smt.e,Produce a control assessment report that document the results of the assessment; and
CA-2(f) Control Assessments,ca-2_smt.f,ca-2,ca-2_smt.f,Provide the results of the control assessment to [individuals or roles].
CA-2.1 Independent Assessors,ca-2.1,ca-2.1,,Employ independent assessors or assessment teams to conduct control assessments.
CA-3(a) Information Exchange,ca-3_smt.a,ca-3,ca-3_smt.a,Approve and manage the exchange of information between the system and other systems using [interconnection security agreements | information exchange security agreements | memoranda of understanding or agreement | service level agreements | user agreements | non-disclosure agreements | ];
CA-3(b) Information Exchange,ca-3_smt.b,ca-3,ca-3_smt.b,"Document, as part of each exchange agreement, the interface characteristics, security and privacy requirements, controls, and responsibilities for each system, and the impact level of the information communicated; and"
CA-3(c) Information Exchange,ca-3_smt.c,ca-3,ca-3_smt.c,Review and update the agreements [frequency].
CA-5(a) Plan of Action and Milestones,ca-5_smt.a,ca-5,ca-5_smt.a,Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and
CA-5(b) Plan of Action and Milestones,ca-5_smt.b,ca-5,ca-5_smt.b,"Update existing plan of action and milestones [frequency] based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities."
CA-6(a) Authorization,ca-6_smt.a,ca-6,ca-6_smt.a,Assign a senior official as the authorizing official for the system;
CA-6(b) Authorization,ca-6_smt.b,ca-6,ca-6_smt.b,Assign a senior official as the authorizing official for common controls available for inheritance by organizational systems;
CA-6(c) Authorization,ca-6_smt.c,ca-6,ca-6_smt.c,"Ensure that the authorizing official for the system, before commencing operations: 1. Accepts the use of common controls inherited by the system; and 2. Authorizes the system to operate;"
CA-6(d) Authorization,ca-6_smt.d,ca-6,ca-6_smt.d,Ensure that the authorizing official for common controls authorizes the use of those controls for inheritance by organizational systems;
CA-6(e) Authorization,ca-6_smt.e,ca-6,ca-6_smt.e,Update the authorizations [frequency].
CA-7(a) Continuous Monitoring,ca-7_smt.a,ca-7,ca-7_smt.a,Establishing the following system-level metrics to be monitored: [system-level metrics];
CA-7(b) Continuous Monitoring,ca-7_smt.b,ca-7,ca-7_smt.b,Establishing [frequencies] for monitoring and [frequencies] for assessment of control effectiveness;
CA-7(c) Continuous Monitoring,ca-7_smt.c,ca-7,ca-7_smt.c,Ongoing control assessments in accordance with the continuous monitoring strategy;
CA-7(d) Continuous Monitoring,ca-7_smt.d,ca-7,ca-7_smt.d,Ongoing monitoring of system and organization-defined metrics in accordance with the continuous monitoring strategy;
CA-7(e) Continuous Monitoring,ca-7_smt.e,ca-7,ca-7_smt.e,Correlation and analysis of information generated by control assessments and monitoring;
CA-7(f) Continuous Monitoring,ca-7_smt.f,ca-7,ca-7_smt.f,Response actions to address results of the analysis of control assessment and monitoring information; and
CA-7(g) Continuous Monitoring,ca-7_smt.g,ca-7,ca-7_smt.g,Reporting the security and privacy status of the system to [organization-defined personnel or roles] [organization-defined frequency].
CA-7.4(a) Risk Monitoring,ca-7.4_smt.a,ca-7.4,ca-7.4_smt.a,Effectiveness monitoring;
CA-7.4(b) Risk Monitoring,ca-7.4_smt.b,ca-7.4,ca-7.4_smt.b,Compliance monitoring; and
CA-7.4(c) Risk Monitoring,ca-7.4_smt.c,ca-7.4,ca-7.4_smt.c,Change monitoring.
CA-8 Penetration Testing,ca-8,ca-8,,Conduct penetration testing [frequency] on [system(s) or system components].
CA-9(a) Internal System Connections,ca-9_smt.a,ca-9,ca-9_smt.a,Authorize internal connections of [system components] to the system;
CA-9(b) Internal System Connections,ca-9_smt.b,ca-9,ca-9_smt.b,"Document, for each internal connection, the interface characteristics, security and privacy requirements, and the nature of the information communicated;"
CA-9(c) Internal System Connections,ca-9_smt.c,ca-9,ca-9_smt.c,Terminate internal system connections after [conditions] ; and
CA-9(d) Internal System Connections,ca-9_smt.d,ca-9,ca-9_smt.d,Review [frequency] the continued need for each internal connection.
CM-1(a) Policy and Procedures,cm-1_smt.a,cm-1,cm-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] configuration management policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the configuration management policy and the associated configuration management controls;"
CM-1(b) Policy and Procedures,cm-1_smt.b,cm-1,cm-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the configuration management policy and procedures; and"
CM-1(c) Policy and Procedures,cm-1_smt.c,cm-1,cm-1_smt.c,Review and update the current configuration management: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
CM-2(a) Baseline Configuration,cm-2_smt.a,cm-2,cm-2_smt.a,"Develop, document, and maintain under configuration control, a current baseline configuration of the system; and"
CM-2(b) Baseline Configuration,cm-2_smt.b,cm-2,cm-2_smt.b,Review and update the baseline configuration of the system: 1. [frequency]; 2. When required due to [circumstances] ; and 3. When system components are installed or upgraded.
CM-4 Impact Analyses,cm-4,cm-4,,Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.
CM-5 Access Restrictions for Change,cm-5,cm-5,,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system."
CM-6(a) Configuration Settings,cm-6_smt.a,cm-6,cm-6_smt.a,Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [common secure configurations];
CM-6(b) Configuration Settings,cm-6_smt.b,cm-6,cm-6_smt.b,Implement the configuration settings;
CM-6(c) Configuration Settings,cm-6_smt.c,cm-6,cm-6_smt.c,"Identify, document, and approve any deviations from established configuration settings for [system components] based on [operational requirements] ; and"
CM-6(d) Configuration Settings,cm-6_smt.d,cm-6,cm-6_smt.d,Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.
CM-7(a) Least Functionality,cm-7_smt.a,cm-7,cm-7_smt.a,Configure the system to provide only [mission-essential capabilities] ; and
CM-7(b) Least Functionality,cm-7_smt.b,cm-7,cm-7_smt.b,"Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: [organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services]."
CM-8(a) System Component Inventory,cm-8_smt.a,cm-8,cm-8_smt.a,Develop and document an inventory of system components that: 1. Accurately reflects the system; 2. Includes all components within the system; 3. Does not include duplicate accounting of components or components assigned to any other system; 4. Is at the level of granularity deemed necessary for tracking and reporting; and 5. Includes the following information to achieve system component accountability: [information] ; and
CM-8(b) System Component Inventory,cm-8_smt.b,cm-8,cm-8_smt.b,Review and update the system component inventory [frequency].
CM-10(a) Software Usage Restrictions,cm-10_smt.a,cm-10,cm-10_smt.a,Use software and associated documentation in accordance with contract agreements and copyright laws;
CM-10(b) Software Usage Restrictions,cm-10_smt.b,cm-10,cm-10_smt.b,Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and
CM-10(c) Software Usage Restrictions,cm-10_smt.c,cm-10,cm-10_smt.c,"Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work."
CM-11(a) User-installed Software,cm-11_smt.a,cm-11,cm-11_smt.a,Establish [policies] governing the installation of software by users;
CM-11(b) User-installed Software,cm-11_smt.b,cm-11,cm-11_smt.b,Enforce software installation policies through the following methods: [methods] ; and
CM-11(c) User-installed Software,cm-11_smt.c,cm-11,cm-11_smt.c,Monitor policy compliance [frequency].
CP-1(a) Policy and Procedures,cp-1_smt.a,cp-1,cp-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] contingency planning policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;"
